Category,ID
　農業,01
　林業,02
　漁業（水産養殖業を除く）,03
　水産養殖業,04
　鉱業，採石業，砂利採取業,05
　総合工事業,06
　職別工事業(設備工事業を除く),07
　設備工事業,08
　食料品製造業,09
　飲料・たばこ・飼料製造業,10
　繊維工業,11
　木材・木製品製造業（家具を除く）,12
　家具・装備品製造業,13
　パルプ・紙・紙加工品製造業,14
　印刷・同関連業,15
　化学工業,16
　石油製品・石炭製品製造業,17
　プラスチック製品製造業（別掲を除く）,18
　ゴム製品製造業,19
　なめし革・同製品・毛皮製造業,20
　窯業・土石製品製造業,21
　鉄鋼業,22
　非鉄金属製造業,23
　金属製品製造業,24
　はん用機械器具製造業,25
　生産用機械器具製造業,26
　業務用機械器具製造業,27
　電子部品・デバイス・電子回路製造業,28
　電気機械器具製造業,29
　情報通信機械器具製造業,30
　輸送用機械器具製造業,31
　その他の製造業,32
　電気業,33
　ガス業,34
　熱供給業,35
　水道業,36
　通信業,37
　放送業,38
　情報サービス業,39
　インターネット附随サービス業,40
　映像・音声・文字情報制作業,41
　鉄道業,42
　道路旅客運送業,43
　道路貨物運送業,44
　水運業,45
　航空運輸業,46
　倉庫業,47
　運輸に附帯するサービス業,48
　郵便業（信書便事業を含む）,49
　各種商品卸売業,50
　繊維・衣服等卸売業,51
　飲食料品卸売業,52
　建築材料，鉱物・金属材料等卸売業,53
　機械器具卸売業,54
　その他の卸売業,55
　各種商品小売業,56
　織物・衣服・身の回り品小売業,57
　飲食料品小売業,58
　機械器具小売業,59
　その他の小売業,60
　無店舗小売業,61
　銀行業,62
　協同組織金融業,63
　貸金業，クレジットカード業等非預金信用機関,64
　金融商品取引業，商品先物取引業,65
　補助的金融業等,66
　保険業（保険媒介代理業，保険サービス業を含む）,67
　不動産取引業,68
　不動産賃貸業・管理業,69
　物品賃貸業,70
　学術・開発研究機関,71
　専門サービス業（他に分類されないもの）,72
　広告業,73
　技術サービス業（他に分類されないもの）,74
　宿泊業,75
　飲食店,76
　持ち帰り・配達飲食サービス業,77
　洗濯・理容・美容・浴場業,78
　その他の生活関連サービス業,79
　娯楽業,80
　学校教育,81
　その他の教育，学習支援業,82
　医療業,83
　保健衛生,84
　社会保険・社会福祉・介護事業,85
　郵便局,86
　協同組合（他に分類されないもの）,87
　廃棄物処理業,88
　自動車整備業,89
　機械等修理業（別掲を除く）,90
　職業紹介・労働者派遣業,91
　その他の事業サービス業,92
　政治・経済・文化団体,93
　宗教,94
　その他のサービス業,95
　外国公務,96
　国家公務,97
　地方公務,98
分類不能の産業,99
